년도별 산불통계,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
발생일시_년,발생일시_월,발생일시_일,발생일시_시간,발생일시_요일,진화종료시간_년,진화종료시간_월,진화종료시간_일,진화종료시간_시간,발생장소_관서,발생장소_시도,발생장소_시군구,발생장소_읍면,발생장소_동리,발생원인_구분,발생원인_세부원인,발생원인_기타,피해면적_합계,log,log_scale,산,차선,최대차선,워드1,워드2,워드3,워드4,워드5,,,
2022,3,4,11:17,금,2022,3,13,18:00,경북,경북,울진,북,두천,도로,기타(직접입력),도로변발화추정,16301.98,9.699041852,14.30421204,경북 울진군 북면 두천리 산154번지,2,,아스팔트,전신주,가설건축물,건물,개천,,,
2022,3,5,1:08,토,2022,3,11,13:00,강원,강원,강릉,옥계,남양,방화,방화,방화,4190.38,8.340546701,12.94571689,강원 강릉시 옥계면 남양리 매봉산 (4반 2리),2,,아스팔트,전신주,수목 관리X,초화류 관리X,개천,,,
2020,4,24,15:39,금,2020,4,27,18:00,경북,경북,안동,풍천,인금,입,기타(직접입력),입산자실화추정,1944,7.572502985,12.17767317,경북 안동시 풍천면 인금리 656,2,,아스팔트,전신주,초화류 관리X,논밭,건물,,,
2019,4,4,19:17,목,2019,4,5,18:00,강원,강원,고성,토성,원암,기,기타(직접입력),"특고압 전선 아크 불티(고성:936.14,속초:330.48)",1266.62,7.144107214,11.7492774,강원 고성군 토성면 원암리 주유소,4,,아스팔트,전신주,주유소,초화류 관리X,수목 관리X,,,
2019,4,4,23:46,목,2019,4,5,21:30,강원,강원,강릉,옥계,남양,기,기타(직접입력),"신당 전기초 합선(강릉:1033.07,동해:227.08)",1260.15,7.13898604,11.74415623,강원 강릉시 옥계면 남양리 신당,2,,아스팔트,전신주,수목 관리X,초화류 관리X,소나무,,,
2022,2,28,14:20,월,2022,3,3,18:00,경남,경남,합천,율곡,노양,입,기타(직접입력),입산자실화추정(수사중),813.89,6.701825222,11.30699541,경남 합천군 율곡면 노양리 산83번지,1,,콘크리트,전신주,가설건축물,논밭,소나무,,,
2017,5,6,11:42,토,2017,5,9,11:20,강원,강원,삼척,도계,점,입,기타(직접입력),입산자실화,765.12,6.640032684,11.24520287,강원 삼척시 도계읍 점리 산83번지,1,-2,콘크리트,전신주,초화류 관리X,소나무,수로,,,
2022,4,10,15:40,일,2022,4,12,21:30,강원,강원,양구,양구,송청,쓰,쓰레기소각,생활쓰레기소각(낙엽),716.31,6.574113034,11.17928322,강원 양구군 양구읍 송청리 산43,2,,아스팔트,전신주,건물,인도,개천,,,
2022,5,31,9:29,화,2022,6,5,13:30,경남,경남,밀양,부북,춘화,미상,기타(직접입력),미상,660.82,6.493481488,11.09865167,경남 밀양시 부북면 춘화리 산 13-31,1,-2,아스팔트,전신주,건물,가설건축물,논밭,,,
2020,3,19,13:51,목,2020,3,20,18:00,울산,울산,울주,웅촌,대복,입,기타(직접입력),입산자실화,519,6.251903883,10.85707407,울산 울주군 웅촌면 대복리 산141,1,-4,아스팔트,전신주,건물,주차장,개천,,,
